frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,Distraction,Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
32,0,1.148,0.98,1,0.079897,0.094869,-0.992278,-0.005808,0.076786,-0.997031,0.037,0.086,-30.7,24.5,247.2,-0.07,-0.004,-0.038,0,0,1.48,0,1.78,1.26,0.56,1.68,0.31,0.13,0,0,0,0,2.21,0.04,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
33,0,1.185,0.98,1,0.101946,0.099242,-0.989827,-0.038077,0.06088,-0.997419,0.032,0.08,-30.5,24.3,245.3,-0.073,-0.011,-0.039,0,0,1.46,0,1.77,1.29,0.46,1.73,0.35,0.15,0,0,0,0,2.21,0.07,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
34,0,1.222,0.98,1,0.095987,0.104661,-0.989865,-0.028424,0.075254,-0.996759,0.034,0.09,-30.6,24.4,245,-0.075,-0.011,-0.04,0,0,1.4,0,1.76,1.23,0.45,1.71,0.32,0.21,0,0,0,0,2.21,0.08,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
35,0,1.259,0.98,1,0.0811,0.102003,-0.991473,-0.001001,0.056941,-0.998377,0.04,0.08,-31.1,24.5,246.4,-0.08,-0.008,-0.043,0,0,1.41,0,1.74,1.08,0.46,1.74,0.3,0.26,0,0,0,0,2.31,0.07,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
36,0,1.296,0.98,1,0.094878,0.086987,-0.991681,-0.032792,0.037196,-0.99877,0.031,0.062,-30.9,24.5,245.6,-0.077,-0.008,-0.043,0,0,1.44,0,1.79,1.05,0.49,1.65,0.32,0.21,0,0,0,0,2.36,0.06,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
37,0,1.333,0.98,1,0.108261,0.081834,-0.990749,-0.003576,0.072677,-0.997349,0.053,0.078,-32.1,24.1,246.4,-0.084,-0.012,-0.056,0,0,1.47,0,1.83,1.13,0.47,1.61,0.33,0.12,0,0,0,0,2.37,0.09,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
38,0,1.37,0.98,1,0.107116,0.080857,-0.990953,-0.010939,0.091543,-0.995741,0.048,0.087,-32.5,24.1,246.3,-0.085,-0.012,-0.063,0,0,1.5,0,1.9,1.18,0.45,1.62,0.35,0.03,0,0,0,0,2.33,0.09,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
39,0,1.407,0.98,1,0.111364,0.083277,-0.990284,-0.009826,0.090039,-0.99589,0.051,0.087,-32.4,24.2,245.6,-0.077,-0.012,-0.064,0,0,1.54,0,1.91,1.2,0.44,1.63,0.34,0,0,0,0,0,2.35,0.11,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
40,0,1.444,0.98,1,0.126776,0.077524,-0.988897,-0.014641,0.091148,-0.99573,0.056,0.085,-33,24.3,246.1,-0.082,-0.013,-0.071,0,0,1.57,0,1.94,1.22,0.45,1.66,0.36,0,0,0,0,0,2.39,0.1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
41,0,1.481,0.98,1,0.121268,0.07827,-0.989529,-0.01285,0.092445,-0.995635,0.055,0.086,-33.1,24.3,245.7,-0.078,-0.012,-0.073,0,0,1.63,0,1.95,1.24,0.46,1.64,0.37,0.03,0,0,0,0,2.46,0.12,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,2,4,0,0,,68,22.1,0.011719577,0.796819443,0,225.5950928,0.078230713,-0.101082087,1.926082087,0.142242519,0,0,0,0
